date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:27:39	1013988/1013988	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20May%202022%2013:30:10%20GMT	https://tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Mangan.jpg	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Mangan.jpg	(from https://tripindia.herokuapp.com/touristdestination/explore/Mangan)
17:27:39	599435/599435	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20May%202022%2013:30:10%20GMT	https://tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Mangan2.jpg	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Mangan2.jpg	(from https://tripindia.herokuapp.com/touristdestination/explore/Mangan)
17:27:43	153656/153656	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20May%202022%2013:30:11%20GMT	https://tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Siliguri2.jpg	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Siliguri2.jpg	(from https://tripindia.herokuapp.com/touristdestination/explore/Siliguri)
17:27:48	344437/344437	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20May%202022%2013:30:10%20GMT	https://tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Guwahati2.jpg	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Guwahati2.jpg	(from https://tripindia.herokuapp.com/touristdestination/explore/Guwahati)
17:27:53	1381972/1381972	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20May%202022%2013:30:11%20GMT	https://tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Siliguri.jpg	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Siliguri.jpg	(from https://tripindia.herokuapp.com/touristdestination/explore/Siliguri)
17:27:53	816230/816230	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20May%202022%2013:30:10%20GMT	https://tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Itanagar.jpg	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Itanagar.jpg	(from https://tripindia.herokuapp.com/touristdestination/explore/Itanagar)
17:27:57	255688/255688	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20May%202022%2013:30:10%20GMT	https://tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Shillong.jpg	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Shillong.jpg	(from https://tripindia.herokuapp.com/touristdestination/explore/Shillong)
17:28:04	5502667/5502667	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20May%202022%2013:30:10%20GMT	https://tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Guwahati.jpg	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Guwahati.jpg	(from https://tripindia.herokuapp.com/touristdestination/explore/Guwahati)
17:28:06	740401/740401	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20May%202022%2013:30:10%20GMT	https://tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Shillong2.jpg	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Shillong2.jpg	(from https://tripindia.herokuapp.com/touristdestination/explore/Shillong)
17:28:06	1417911/1417911	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20May%202022%2013:30:10%20GMT	https://tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Itanagar2.jpg	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Itanagar2.jpg	(from https://tripindia.herokuapp.com/touristdestination/explore/Itanagar)
17:28:07	38384/38384	---M--	200	added ('OK')	font/woff2	date:Mon,%2002%20May%202022%2013:30:11%20GMT	https://tripindia.herokuapp.com/user/static/signupassets/fonts/material-icon/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/user/static/signupassets/fonts/material-icon/fonts/Material-Design-Iconic-Fontd1f1.woff2	(from https://tripindia.herokuapp.com/user/static/signupassets/fonts/material-icon/css/material-design-iconic-font.min.css)
17:28:08	50312/50312	---M--	200	added ('OK')	font/woff	date:Mon,%2002%20May%202022%2013:30:11%20GMT	https://tripindia.herokuapp.com/user/static/signupassets/fonts/material-icon/fonts/Material-Design-Iconic-Font.woff?v=2.2.0	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/user/static/signupassets/fonts/material-icon/fonts/Material-Design-Iconic-Fontd1f1.woff	(from https://tripindia.herokuapp.com/user/static/signupassets/fonts/material-icon/css/material-design-iconic-font.min.css)
17:28:08	99212/99212	---M--	200	added ('OK')	font/ttf	date:Mon,%2002%20May%202022%2013:30:11%20GMT	https://tripindia.herokuapp.com/user/static/signupassets/fonts/material-icon/fonts/Material-Design-Iconic-Font.ttf?v=2.2.0	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/user/static/signupassets/fonts/material-icon/fonts/Material-Design-Iconic-Fontd1f1.ttf	(from https://tripindia.herokuapp.com/user/static/signupassets/fonts/material-icon/css/material-design-iconic-font.min.css)
17:28:08	11649104/11649104	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20May%202022%2013:30:11%20GMT	https://tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Tawang.jpg	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Tawang.jpg	(from https://tripindia.herokuapp.com/touristdestination/explore/Tawang)
17:28:09	263192/263192	---M--	200	added ('OK')	font/ttf	date:Mon,%2002%20May%202022%2013:30:11%20GMT	https://tripindia.herokuapp.com/user/static/signupassets/fonts/montserrat/Montserrat-Regular.ttf	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/user/static/signupassets/fonts/montserrat/Montserrat-Regular.ttf	(from https://tripindia.herokuapp.com/user/static/signupassets/css/style.css)
17:28:09	259416/259416	---M--	200	added ('OK')	font/ttf	date:Mon,%2002%20May%202022%2013:30:11%20GMT	https://tripindia.herokuapp.com/user/static/signupassets/fonts/montserrat/Montserrat-Light.ttf	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/user/static/signupassets/fonts/montserrat/Montserrat-Light.ttf	(from https://tripindia.herokuapp.com/user/static/signupassets/css/style.css)
17:28:10	266628/266628	---M--	200	added ('OK')	font/ttf	date:Mon,%2002%20May%202022%2013:30:11%20GMT	https://tripindia.herokuapp.com/user/static/signupassets/fonts/montserrat/Montserrat-Italic.ttf	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/user/static/signupassets/fonts/montserrat/Montserrat-Italic.ttf	(from https://tripindia.herokuapp.com/user/static/signupassets/css/style.css)
17:28:11	260936/260936	---M--	200	added ('OK')	font/ttf	date:Mon,%2002%20May%202022%2013:30:11%20GMT	https://tripindia.herokuapp.com/user/static/signupassets/fonts/montserrat/Montserrat-SemiBold.ttf	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/user/static/signupassets/fonts/montserrat/Montserrat-SemiBold.ttf	(from https://tripindia.herokuapp.com/user/static/signupassets/css/style.css)
17:28:12	260236/260236	---M--	200	added ('OK')	font/ttf	date:Mon,%2002%20May%202022%2013:30:11%20GMT	https://tripindia.herokuapp.com/user/static/signupassets/fonts/montserrat/Montserrat-Medium.ttf	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/user/static/signupassets/fonts/montserrat/Montserrat-Medium.ttf	(from https://tripindia.herokuapp.com/user/static/signupassets/css/style.css)
